Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 1 - 	 Ger: 1 - 	 Best:    2.16229 - 	 Mean: 45435.55494 - 	 AQreal:   42.44832  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.43578 - 	 Mean:   85.01061 - 	 AQreal:   42.44832  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.02895 - 	 Mean:   37.91910 - 	 AQreal:   42.44832  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.02895 - 	 Mean:   19.28393 - 	 AQreal:   42.44832  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.02895 - 	 Mean:    9.03442 - 	 AQreal:   39.83512  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.02895 - 	 Mean:    5.47256 - 	 AQreal:   39.83512  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.02895 - 	 Mean:    2.65195 - 	 AQreal:   39.83512  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.02554 - 	 Mean:    1.25621 - 	 AQreal:   39.83512  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.02554 - 	 Mean:    0.63515 - 	 AQreal:   39.83512  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.02184 - 	 Mean:    0.20889 - 	 AQreal:   35.17765  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.02184 - 	 Mean:    0.10277 - 	 AQreal:   35.17765  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.02184 - 	 Mean:    0.05833 - 	 AQreal:   35.17765  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.02184 - 	 Mean:    0.03969 - 	 AQreal:   35.17765  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.02184 - 	 Mean:    0.03770 - 	 AQreal:   35.17765  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.02184 - 	 Mean:    0.03412 - 	 AQreal:   23.67142  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.02184 - 	 Mean:    0.03266 - 	 AQreal:   23.67142  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.02184 - 	 Mean:    0.03128 - 	 AQreal:   23.67142  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.02184 - 	 Mean:    0.03052 - 	 AQreal:   23.67142  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.02184 - 	 Mean:    0.02994 - 	 AQreal:   23.67142  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.02184 - 	 Mean:    0.02917 - 	 AQreal:   16.50961  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.02184 - 	 Mean:    0.02888 - 	 AQreal:   16.50961  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.02184 - 	 Mean:    0.02888 - 	 AQreal:   16.50961  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.02184 - 	 Mean:    0.02849 - 	 AQreal:   16.50961  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.02184 - 	 Mean:    0.02767 - 	 AQreal:   16.50961  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.02184 - 	 Mean:    0.02708 - 	 AQreal:   16.53653  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.02184 - 	 Mean:    0.02688 - 	 AQreal:   16.53653  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.02184 - 	 Mean:    0.02643 - 	 AQreal:   16.53653  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.02149 - 	 Mean:    0.02583 - 	 AQreal:   16.53653  	 
