Exp: 1 - 	 Ger: 1 - 	 Best:    0.35306 - 	 Mean: 40431.30971 - 	 AQreal:   27.44832  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.16578 - 	 Mean:   41.23309 - 	 AQreal:   27.44832  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.16578 - 	 Mean:    5.14208 - 	 AQreal:   27.44832  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.16578 - 	 Mean:    1.36046 - 	 AQreal:   27.44832  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.16578 - 	 Mean:    0.71731 - 	 AQreal:   23.40460  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.16578 - 	 Mean:    0.51009 - 	 AQreal:   23.40460  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.16578 - 	 Mean:    0.39639 - 	 AQreal:   23.40460  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.16578 - 	 Mean:    0.33026 - 	 AQreal:   23.40460  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.14727 - 	 Mean:    0.30143 - 	 AQreal:   23.40460  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.14727 - 	 Mean:    0.28054 - 	 AQreal:   13.16463  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.14727 - 	 Mean:    0.26305 - 	 AQreal:   13.16463  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.14727 - 	 Mean:    0.24956 - 	 AQreal:   13.16463  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.14727 - 	 Mean:    0.24135 - 	 AQreal:   13.16463  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.14727 - 	 Mean:    0.23635 - 	 AQreal:   13.16463  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.14727 - 	 Mean:    0.22720 - 	 AQreal:    9.29381  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.14727 - 	 Mean:    0.22012 - 	 AQreal:    9.29381  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.14727 - 	 Mean:    0.21405 - 	 AQreal:    9.29381  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.14329 - 	 Mean:    0.20616 - 	 AQreal:    9.29381  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.14329 - 	 Mean:    0.20277 - 	 AQreal:    9.29381  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.14329 - 	 Mean:    0.19929 - 	 AQreal:    8.24941  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.13349 - 	 Mean:    0.19494 - 	 AQreal:    8.24941  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.13349 - 	 Mean:    0.19270 - 	 AQreal:    8.24941  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.13349 - 	 Mean:    0.19138 - 	 AQreal:    8.24941  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.13349 - 	 Mean:    0.18963 - 	 AQreal:    8.24941  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.11818 - 	 Mean:    0.18671 - 	 AQreal:    8.22037  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.11818 - 	 Mean:    0.18649 - 	 AQreal:    8.22037  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.11818 - 	 Mean:    0.18467 - 	 AQreal:    8.22037  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.11818 - 	 Mean:    0.18410 - 	 AQreal:    8.22037  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.11818 - 	 Mean:    0.18264 - 	 AQreal:    8.22037  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.11818 - 	 Mean:    0.18117 - 	 AQreal:   13.62867  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.11818 - 	 Mean:    0.17917 - 	 AQreal:   13.62867  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.11818 - 	 Mean:    0.17817 - 	 AQreal:   13.62867  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.11818 - 	 Mean:    0.17589 - 	 AQreal:   13.62867  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.11818 - 	 Mean:    0.17504 - 	 AQreal:   13.62867  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.11818 - 	 Mean:    0.17440 - 	 AQreal:   13.63762  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.11818 - 	 Mean:    0.17440 - 	 AQreal:   13.63762  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.11818 - 	 Mean:    0.17405 - 	 AQreal:   13.63762  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.11818 - 	 Mean:    0.17306 - 	 AQreal:   13.63762  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.11818 - 	 Mean:    0.17259 - 	 AQreal:   13.63762  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.11818 - 	 Mean:    0.17159 - 	 AQreal:   11.97307  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.11818 - 	 Mean:    0.17156 - 	 AQreal:   11.97307  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.11818 - 	 Mean:    0.16943 - 	 AQreal:   11.97307  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.10188 - 	 Mean:    0.16539 - 	 AQreal:   11.97307  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    0.10188 - 	 Mean:    0.16539 - 	 AQreal:   11.97307  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    0.10188 - 	 Mean:    0.16492 - 	 AQreal:   11.32072  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    0.10188 - 	 Mean:    0.16383 - 	 AQreal:   11.32072  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    0.10188 - 	 Mean:    0.16354 - 	 AQreal:   11.32072  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    0.10188 - 	 Mean:    0.16301 - 	 AQreal:   11.32072  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    0.10188 - 	 Mean:    0.16266 - 	 AQreal:   11.32072  	 
Exp: 1 - 	 Ger: 50 - 	 Best:    0.10188 - 	 Mean:    0.16123 - 	 AQreal:   10.98557  	 
Exp: 1 - 	 Ger: 51 - 	 Best:    0.10188 - 	 Mean:    0.16033 - 	 AQreal:   10.98557  	 
Exp: 1 - 	 Ger: 52 - 	 Best:    0.10188 - 	 Mean:    0.15986 - 	 AQreal:   10.98557  	 
Exp: 1 - 	 Ger: 53 - 	 Best:    0.10188 - 	 Mean:    0.15915 - 	 AQreal:   10.98557  	 
Exp: 1 - 	 Ger: 54 - 	 Best:    0.10188 - 	 Mean:    0.15869 - 	 AQreal:   10.98557  	 
Exp: 1 - 	 Ger: 55 - 	 Best:    0.10188 - 	 Mean:    0.15862 - 	 AQreal:   10.40336  	 
Exp: 1 - 	 Ger: 56 - 	 Best:    0.10188 - 	 Mean:    0.15814 - 	 AQreal:   10.40336  	 
Exp: 1 - 	 Ger: 57 - 	 Best:    0.10188 - 	 Mean:    0.15786 - 	 AQreal:   10.40336  	 
Exp: 1 - 	 Ger: 58 - 	 Best:    0.10188 - 	 Mean:    0.15524 - 	 AQreal:   10.40336  	 
Exp: 1 - 	 Ger: 59 - 	 Best:    0.08944 - 	 Mean:    0.15208 - 	 AQreal:   10.40336  	 
Exp: 1 - 	 Ger: 60 - 	 Best:    0.08944 - 	 Mean:    0.15145 - 	 AQreal:   10.36626  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    0.08944 - 	 Mean:    0.14932 - 	 AQreal:   10.36626  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    0.08944 - 	 Mean:    0.14854 - 	 AQreal:   10.36626  	 
Exp: 1 - 	 Ger: 63 - 	 Best:    0.08944 - 	 Mean:    0.14843 - 	 AQreal:   10.36626  	 
Exp: 1 - 	 Ger: 64 - 	 Best:    0.08944 - 	 Mean:    0.14691 - 	 AQreal:   10.36626  	 
Exp: 1 - 	 Ger: 65 - 	 Best:    0.08944 - 	 Mean:    0.14689 - 	 AQreal:    7.96661  	 
Exp: 1 - 	 Ger: 66 - 	 Best:    0.08944 - 	 Mean:    0.14510 - 	 AQreal:    7.96661  	 
Exp: 1 - 	 Ger: 67 - 	 Best:    0.08944 - 	 Mean:    0.14510 - 	 AQreal:    7.96661  	 
Exp: 1 - 	 Ger: 68 - 	 Best:    0.08944 - 	 Mean:    0.14415 - 	 AQreal:    7.96661  	 
Exp: 1 - 	 Ger: 69 - 	 Best:    0.08944 - 	 Mean:    0.14331 - 	 AQreal:    7.96661  	 
Exp: 1 - 	 Ger: 70 - 	 Best:    0.08944 - 	 Mean:    0.14198 - 	 AQreal:    8.58641  	 
Exp: 1 - 	 Ger: 71 - 	 Best:    0.08944 - 	 Mean:    0.14129 - 	 AQreal:    8.58641  	 
Exp: 1 - 	 Ger: 72 - 	 Best:    0.08944 - 	 Mean:    0.14129 - 	 AQreal:    8.58641  	 
Exp: 1 - 	 Ger: 73 - 	 Best:    0.08944 - 	 Mean:    0.14098 - 	 AQreal:    8.58641  	 
Exp: 1 - 	 Ger: 74 - 	 Best:    0.08944 - 	 Mean:    0.14098 - 	 AQreal:    8.58641  	 
Exp: 1 - 	 Ger: 75 - 	 Best:    0.08944 - 	 Mean:    0.14087 - 	 AQreal:    9.22249  	 
Exp: 1 - 	 Ger: 76 - 	 Best:    0.08944 - 	 Mean:    0.14052 - 	 AQreal:    9.22249  	 
Exp: 1 - 	 Ger: 77 - 	 Best:    0.08944 - 	 Mean:    0.14039 - 	 AQreal:    9.22249  	 
Exp: 1 - 	 Ger: 78 - 	 Best:    0.08944 - 	 Mean:    0.13990 - 	 AQreal:    9.22249  	 
Exp: 1 - 	 Ger: 79 - 	 Best:    0.08944 - 	 Mean:    0.13848 - 	 AQreal:    9.22249  	 
Exp: 1 - 	 Ger: 80 - 	 Best:    0.08944 - 	 Mean:    0.13816 - 	 AQreal:    8.93446  	 
Exp: 1 - 	 Ger: 81 - 	 Best:    0.08944 - 	 Mean:    0.13816 - 	 AQreal:    8.93446  	 
Exp: 1 - 	 Ger: 82 - 	 Best:    0.08944 - 	 Mean:    0.13801 - 	 AQreal:    8.93446  	 
Exp: 1 - 	 Ger: 83 - 	 Best:    0.08944 - 	 Mean:    0.13763 - 	 AQreal:    8.93446  	 
Exp: 1 - 	 Ger: 84 - 	 Best:    0.08944 - 	 Mean:    0.13763 - 	 AQreal:    8.93446  	 
Exp: 1 - 	 Ger: 85 - 	 Best:    0.08944 - 	 Mean:    0.13704 - 	 AQreal:    8.34310  	 
Exp: 1 - 	 Ger: 86 - 	 Best:    0.08944 - 	 Mean:    0.13638 - 	 AQreal:    8.34310  	 
Exp: 1 - 	 Ger: 87 - 	 Best:    0.08944 - 	 Mean:    0.13624 - 	 AQreal:    8.34310  	 
Exp: 1 - 	 Ger: 88 - 	 Best:    0.08944 - 	 Mean:    0.13614 - 	 AQreal:    8.34310  	 
Exp: 1 - 	 Ger: 89 - 	 Best:    0.08944 - 	 Mean:    0.13614 - 	 AQreal:    8.34310  	 
Exp: 1 - 	 Ger: 90 - 	 Best:    0.08944 - 	 Mean:    0.13428 - 	 AQreal:    8.42320  	 
Exp: 1 - 	 Ger: 91 - 	 Best:    0.08944 - 	 Mean:    0.13428 - 	 AQreal:    8.42320  	 
Exp: 1 - 	 Ger: 92 - 	 Best:    0.08944 - 	 Mean:    0.13356 - 	 AQreal:    8.42320  	 
Exp: 1 - 	 Ger: 93 - 	 Best:    0.08944 - 	 Mean:    0.13354 - 	 AQreal:    8.42320  	 
Exp: 1 - 	 Ger: 94 - 	 Best:    0.08944 - 	 Mean:    0.13308 - 	 AQreal:    8.42320  	 
Exp: 1 - 	 Ger: 95 - 	 Best:    0.08944 - 	 Mean:    0.13277 - 	 AQreal:    8.39528  	 
Exp: 1 - 	 Ger: 96 - 	 Best:    0.08944 - 	 Mean:    0.13277 - 	 AQreal:    8.39528  	 
Exp: 1 - 	 Ger: 97 - 	 Best:    0.08944 - 	 Mean:    0.13274 - 	 AQreal:    8.39528  	 
Exp: 1 - 	 Ger: 98 - 	 Best:    0.08944 - 	 Mean:    0.13238 - 	 AQreal:    8.39528  	 
Exp: 1 - 	 Ger: 99 - 	 Best:    0.08944 - 	 Mean:    0.13194 - 	 AQreal:    8.39528  	 
Exp: 1 - 	 Ger: 100 - 	 Best:    0.08944 - 	 Mean:    0.13194 - 	 AQreal:    8.37658  	 
Exp: 1 - 	 Ger: 1 - 	 Best:    0.04024 - 	 Mean:    0.88933 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.03278 - 	 Mean:    0.08809 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.03278 - 	 Mean:    0.06193 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.03278 - 	 Mean:    0.05339 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.03278 - 	 Mean:    0.04700 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.03278 - 	 Mean:    0.04319 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.03278 - 	 Mean:    0.04181 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.03278 - 	 Mean:    0.03931 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.02562 - 	 Mean:    0.03731 - 	 AQreal:    0.78640  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.02562 - 	 Mean:    0.03632 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.02562 - 	 Mean:    0.03479 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.02562 - 	 Mean:    0.03426 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.02562 - 	 Mean:    0.03404 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.02562 - 	 Mean:    0.03356 - 	 AQreal:    0.72594  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.02562 - 	 Mean:    0.03282 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.02562 - 	 Mean:    0.03248 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.02562 - 	 Mean:    0.03235 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.02562 - 	 Mean:    0.03235 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.02562 - 	 Mean:    0.03226 - 	 AQreal:    0.71768  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.02562 - 	 Mean:    0.03207 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.02562 - 	 Mean:    0.03142 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.02562 - 	 Mean:    0.03108 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.02562 - 	 Mean:    0.03087 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.02562 - 	 Mean:    0.03026 - 	 AQreal:    0.67560  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.02562 - 	 Mean:    0.02989 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.02562 - 	 Mean:    0.02963 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.02562 - 	 Mean:    0.02960 - 	 AQreal:    0.55479  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.02174 - 	 Mean:    0.02887 - 	 AQreal:    0.55479  	 
