Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 1 - 	 Ger: 1 - 	 Best:    0.12751 - 	 Mean: 60048.12638 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.12636 - 	 Mean:    8.02955 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.12220 - 	 Mean:    0.14186 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.12077 - 	 Mean:    0.13150 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.12077 - 	 Mean:    0.12890 - 	 AQreal:   13.66474  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.12077 - 	 Mean:    0.12721 - 	 AQreal:   13.66474  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.11939 - 	 Mean:    0.12563 - 	 AQreal:   13.66474  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.11939 - 	 Mean:    0.12446 - 	 AQreal:   13.66474  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.11831 - 	 Mean:    0.12375 - 	 AQreal:   13.66474  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.11831 - 	 Mean:    0.12309 - 	 AQreal:    8.61592  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.11762 - 	 Mean:    0.12234 - 	 AQreal:    8.61592  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.11762 - 	 Mean:    0.12178 - 	 AQreal:    8.61592  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.11729 - 	 Mean:    0.12149 - 	 AQreal:    8.61592  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.11729 - 	 Mean:    0.12108 - 	 AQreal:    8.61592  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.11729 - 	 Mean:    0.12085 - 	 AQreal:    9.24367  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.11729 - 	 Mean:    0.12054 - 	 AQreal:    9.24367  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.11655 - 	 Mean:    0.12015 - 	 AQreal:    9.24367  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.11655 - 	 Mean:    0.11990 - 	 AQreal:    9.24367  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.11655 - 	 Mean:    0.11969 - 	 AQreal:    9.24367  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.11655 - 	 Mean:    0.11963 - 	 AQreal:    9.15903  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.11655 - 	 Mean:    0.11940 - 	 AQreal:    9.15903  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.11655 - 	 Mean:    0.11927 - 	 AQreal:    9.15903  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.11607 - 	 Mean:    0.11901 - 	 AQreal:    9.15903  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.11607 - 	 Mean:    0.11894 - 	 AQreal:    9.15903  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.11607 - 	 Mean:    0.11886 - 	 AQreal:    9.12024  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.11607 - 	 Mean:    0.11877 - 	 AQreal:    9.12024  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.11607 - 	 Mean:    0.11871 - 	 AQreal:    9.12024  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.11607 - 	 Mean:    0.11855 - 	 AQreal:    9.12024  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.11460 - 	 Mean:    0.11825 - 	 AQreal:    9.12024  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.11356 - 	 Mean:    0.11810 - 	 AQreal:    7.41967  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.11356 - 	 Mean:    0.11799 - 	 AQreal:    7.41967  	 
