Exp: 1 - 	 Ger: 1 - 	 Best:    0.15931 - 	 Mean: 1614.88158 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.15915 - 	 Mean:    5.46880 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.15910 - 	 Mean:    0.16699 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.15626 - 	 Mean:    0.16491 - 	 AQreal:   14.11498  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.15626 - 	 Mean:    0.16370 - 	 AQreal:   10.20468  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.15375 - 	 Mean:    0.16220 - 	 AQreal:   10.20468  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.15375 - 	 Mean:    0.16087 - 	 AQreal:   10.20468  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.15375 - 	 Mean:    0.15997 - 	 AQreal:   10.20468  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.15375 - 	 Mean:    0.15955 - 	 AQreal:   10.20468  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.15341 - 	 Mean:    0.15907 - 	 AQreal:    9.83222  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.15341 - 	 Mean:    0.15886 - 	 AQreal:    9.83222  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.15341 - 	 Mean:    0.15847 - 	 AQreal:    9.83222  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.15165 - 	 Mean:    0.15733 - 	 AQreal:    9.83222  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.15165 - 	 Mean:    0.15689 - 	 AQreal:    9.83222  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.15067 - 	 Mean:    0.15632 - 	 AQreal:    6.65509  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.15067 - 	 Mean:    0.15607 - 	 AQreal:    6.65509  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.15067 - 	 Mean:    0.15579 - 	 AQreal:    6.65509  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.15040 - 	 Mean:    0.15508 - 	 AQreal:    6.65509  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.15040 - 	 Mean:    0.15505 - 	 AQreal:    6.65509  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.15040 - 	 Mean:    0.15484 - 	 AQreal:    5.37804  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.15040 - 	 Mean:    0.15451 - 	 AQreal:    5.37804  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.15040 - 	 Mean:    0.15401 - 	 AQreal:    5.37804  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.15040 - 	 Mean:    0.15392 - 	 AQreal:    5.37804  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.15040 - 	 Mean:    0.15382 - 	 AQreal:    5.37804  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.15040 - 	 Mean:    0.15359 - 	 AQreal:    4.87002  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.15040 - 	 Mean:    0.15347 - 	 AQreal:    4.87002  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.14969 - 	 Mean:    0.15312 - 	 AQreal:    4.87002  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.14969 - 	 Mean:    0.15294 - 	 AQreal:    4.87002  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.14969 - 	 Mean:    0.15284 - 	 AQreal:    4.87002  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.14969 - 	 Mean:    0.15256 - 	 AQreal:    4.97149  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.14969 - 	 Mean:    0.15253 - 	 AQreal:    4.97149  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.14969 - 	 Mean:    0.15236 - 	 AQreal:    4.97149  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.14969 - 	 Mean:    0.15230 - 	 AQreal:    4.97149  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.14969 - 	 Mean:    0.15228 - 	 AQreal:    4.97149  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.14969 - 	 Mean:    0.15220 - 	 AQreal:    4.46906  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.14869 - 	 Mean:    0.15177 - 	 AQreal:    4.46906  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.14869 - 	 Mean:    0.15158 - 	 AQreal:    4.46906  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.14869 - 	 Mean:    0.15155 - 	 AQreal:    4.46906  	 
