Exp: 1 - 	 Ger: 1 - 	 Best:    0.25564 - 	 Mean: 3080981.80787 - 	 AQreal:   50.78165  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.24137 - 	 Mean:    1.23684 - 	 AQreal:   50.78165  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.24137 - 	 Mean:    0.40600 - 	 AQreal:   50.78165  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.24137 - 	 Mean:    0.32023 - 	 AQreal:   50.78165  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.24137 - 	 Mean:    0.29652 - 	 AQreal:   36.65809  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.24067 - 	 Mean:    0.27492 - 	 AQreal:   36.65809  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.23833 - 	 Mean:    0.26354 - 	 AQreal:   36.65809  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.23714 - 	 Mean:    0.25715 - 	 AQreal:   36.65809  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.23714 - 	 Mean:    0.25394 - 	 AQreal:   36.65809  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.23623 - 	 Mean:    0.25095 - 	 AQreal:   25.38470  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.23623 - 	 Mean:    0.24790 - 	 AQreal:   25.38470  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.23623 - 	 Mean:    0.24545 - 	 AQreal:   25.38470  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.23411 - 	 Mean:    0.24276 - 	 AQreal:   25.38470  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.23411 - 	 Mean:    0.24127 - 	 AQreal:   25.38470  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.23274 - 	 Mean:    0.23976 - 	 AQreal:   32.92849  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.23274 - 	 Mean:    0.23921 - 	 AQreal:   32.92849  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.22972 - 	 Mean:    0.23815 - 	 AQreal:   32.92849  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.22972 - 	 Mean:    0.23738 - 	 AQreal:   32.92849  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.22972 - 	 Mean:    0.23682 - 	 AQreal:   32.92849  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.22972 - 	 Mean:    0.23598 - 	 AQreal:   27.06279  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.22972 - 	 Mean:    0.23537 - 	 AQreal:   27.06279  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.22893 - 	 Mean:    0.23474 - 	 AQreal:   27.06279  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.22893 - 	 Mean:    0.23445 - 	 AQreal:   27.06279  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.22893 - 	 Mean:    0.23399 - 	 AQreal:   27.06279  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.22893 - 	 Mean:    0.23347 - 	 AQreal:   24.06387  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.22893 - 	 Mean:    0.23257 - 	 AQreal:   24.06387  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.22893 - 	 Mean:    0.23222 - 	 AQreal:   24.06387  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.22847 - 	 Mean:    0.23181 - 	 AQreal:   24.06387  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.22847 - 	 Mean:    0.23154 - 	 AQreal:   24.06387  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.22847 - 	 Mean:    0.23149 - 	 AQreal:   26.94999  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.22847 - 	 Mean:    0.23133 - 	 AQreal:   26.94999  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.22847 - 	 Mean:    0.23099 - 	 AQreal:   26.94999  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.22760 - 	 Mean:    0.23087 - 	 AQreal:   26.94999  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.22760 - 	 Mean:    0.23067 - 	 AQreal:   26.94999  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.22760 - 	 Mean:    0.23063 - 	 AQreal:   30.82505  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.22760 - 	 Mean:    0.23048 - 	 AQreal:   30.82505  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.22760 - 	 Mean:    0.23037 - 	 AQreal:   30.82505  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.22760 - 	 Mean:    0.23027 - 	 AQreal:   30.82505  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.22665 - 	 Mean:    0.23004 - 	 AQreal:   30.82505  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.22665 - 	 Mean:    0.22983 - 	 AQreal:   27.74490  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.22665 - 	 Mean:    0.22965 - 	 AQreal:   27.74490  	 
