{Undefined function or variable 'numGenesQbit'.

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('aeiq_br_real', 'D:\Problemas\Steam Generator\Testes Finais\AEIQ\aeiq_br_real.m', 190)" style="font-weight:bold">aeiq_br_real</a> (<a href="matlab: opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\aeiq_br_real.m',190,0)">line 190</a>)
        contadorQbit=zeros(numClassic,numGenesQbit);

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('Experimento_PRINCIPAL_AEIQ_geral', 'D:\Problemas\Steam Generator\Testes Finais\AEIQ\Experimento_PRINCIPAL_AEIQ_geral.m', 75)" style="font-weight:bold">Experimento_PRINCIPAL_AEIQ_geral</a> (<a href="matlab: opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\Experimento_PRINCIPAL_AEIQ_geral.m',75,0)">line 75</a>)
[sol{exp}, classic,  evobestFitness{exp}, trace] = aeiq_br_real(num_var, numPulses, numClassic, ...
} 
opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\Experimento_PRINCIPAL_AEIQ_geral.m',75,0)
opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\aeiq_br_real.m',190,0)
Experimento_PRINCIPAL_AEIQ_geral
Exp: 1 - 	 Ger: 1 - 	 Best:    2.19153 - 	 Mean: 1736.25358 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    2.10674 - 	 Mean:    5.17375 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    2.10674 - 	 Mean:    3.29407 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    2.10674 - 	 Mean:    2.80247 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    1.95432 - 	 Mean:    2.58082 - 	 AQreal:   57.21897  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    1.94853 - 	 Mean:    2.42790 - 	 AQreal:   57.21897  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    1.88088 - 	 Mean:    2.34932 - 	 AQreal:   57.21897  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    1.88088 - 	 Mean:    2.27758 - 	 AQreal:   57.21897  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    1.88088 - 	 Mean:    2.21256 - 	 AQreal:   57.21897  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    1.88088 - 	 Mean:    2.16937 - 	 AQreal:   49.89868  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    1.81111 - 	 Mean:    2.11703 - 	 AQreal:   49.89868  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    1.81111 - 	 Mean:    2.07287 - 	 AQreal:   49.89868  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    1.81111 - 	 Mean:    2.04376 - 	 AQreal:   49.89868  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    1.80922 - 	 Mean:    2.00964 - 	 AQreal:   49.89868  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    1.80922 - 	 Mean:    1.97721 - 	 AQreal:   42.93721  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    1.80371 - 	 Mean:    1.95361 - 	 AQreal:   42.93721  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    1.80371 - 	 Mean:    1.93299 - 	 AQreal:   42.93721  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    1.73012 - 	 Mean:    1.91079 - 	 AQreal:   42.93721  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    1.73012 - 	 Mean:    1.90095 - 	 AQreal:   42.93721  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    1.73012 - 	 Mean:    1.89211 - 	 AQreal:   37.64743  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    1.73012 - 	 Mean:    1.87845 - 	 AQreal:   37.64743  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    1.71730 - 	 Mean:    1.86423 - 	 AQreal:   37.64743  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    1.71730 - 	 Mean:    1.85650 - 	 AQreal:   37.64743  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    1.71730 - 	 Mean:    1.85040 - 	 AQreal:   37.64743  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    1.71730 - 	 Mean:    1.84540 - 	 AQreal:   11.20713  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    1.71730 - 	 Mean:    1.83797 - 	 AQreal:   11.20713  	 
if system_dependent('IsDebugMode')==1, dbquit; end
Experimento_PRINCIPAL_AEIQ_geral
Exp: 1 - 	 Ger: 1 - 	 Best:    2.38039 - 	 Mean:  876.43186 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    2.36076 - 	 Mean:    6.97915 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    2.29264 - 	 Mean:    3.34995 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    2.10894 - 	 Mean:    2.89837 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    1.97546 - 	 Mean:    2.65604 - 	 AQreal:   62.28597  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    1.97546 - 	 Mean:    2.48795 - 	 AQreal:   62.28597  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    1.97546 - 	 Mean:    2.39636 - 	 AQreal:   62.28597  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    1.88950 - 	 Mean:    2.29083 - 	 AQreal:   62.28597  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    1.88950 - 	 Mean:    2.23068 - 	 AQreal:   62.28597  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    1.88950 - 	 Mean:    2.18919 - 	 AQreal:   61.73081  	 
